,GEOGRAPHY_CODE,Main language is English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales): Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English,Main language is not English (English or Welsh in Wales): Cannot speak English well,Total: All usual residents aged 3 years and over
0,E02000001,0.783905325443787,0.216094674556213,0.1544378698224852,0.04568047337278106,0.0022485207100591716,0.013727810650887575,8450.0
1,E02000002,0.8148662291771832,0.18513377082281676,0.07382635032811712,0.07521453811206462,0.003912165572942958,0.032180716809692075,7924.0
2,E02000003,0.7381212452211906,0.2618787547788094,0.10140178408884035,0.10294920808301475,0.005643546331694884,0.05188421627525942,10986.0
3,E02000004,0.844285269386484,0.15571473061351604,0.06524447212706322,0.06353161009031455,0.003737153534724385,0.02320149486141389,6422.0
4,E02000005,0.7665336374002281,0.23346636259977194,0.10053211706575446,0.0911250475104523,0.005511212466742683,0.0362979855568225,10524.0
5,E02000007,0.8208080600390665,0.1791919399609335,0.07093656831499949,0.07145060141873137,0.00524313765806518,0.03156163256913745,9727.0
6,E02000008,0.7883514932977973,0.2116485067022027,0.07940738418123383,0.09124402288939405,0.005643960178725406,0.035353139452849416,12757.0
7,E02000009,0.7360319270239453,0.26396807297605474,0.10677634793940381,0.10547320410490307,0.006515719172503665,0.045202801759244175,12278.0
8,E02000010,0.7835164835164835,0.2164835164835165,0.0856043956043956,0.08978021978021979,0.004065934065934066,0.03703296703296703,9100.0
9,E02000011,0.7556017213236386,0.2443982786763615,0.08799525152099719,0.09838254933966464,0.007122718504229114,0.050897759311470545,6739.0
10,E02000012,0.7613585042001626,0.2386414957998374,0.09131966398699304,0.08960346852136211,0.00812934694246229,0.049589016349019965,11071.0
11,E02000013,0.7760613469659925,0.22393865303400756,0.08335185596799288,0.08879751055790176,0.006223605245610136,0.04556568126250278,8998.0
12,E02000014,0.7770056854074542,0.2229943145925458,0.0801221309749421,0.09138766056011792,0.005685407454200884,0.0457991156032849,9498.0
13,E02000015,0.8101056382843325,0.18989436171566756,0.07101947308132875,0.07903780068728522,0.004454626447753595,0.03538246149929999,7857.0
14,E02000016,0.6488826253271592,0.35111737467284077,0.13740688544392993,0.14153412522649486,0.009965774109120194,0.062210589893295754,9934.0
15,E02000017,0.6292610386639212,0.3707389613360787,0.12445664607641271,0.14733470601692977,0.01246854266758179,0.08647906657515443,8742.0
16,E02000018,0.7777290181020297,0.22227098189797037,0.07910038398244652,0.09270433351618211,0.006582556226001097,0.04388370817334065,9115.0
17,E02000019,0.7897950283471434,0.2102049716528565,0.08231574356737897,0.08820322721325774,0.005233318796336677,0.034452682075883125,9172.0
18,E02000020,0.711919283186507,0.28808071681349295,0.10330547398539267,0.12017167381974249,0.007002484752654168,0.057601084255703636,13281.0
19,E02000021,0.7663851552277864,0.23361484477221364,0.08623765909361246,0.09837040561436898,0.00749375520399667,0.04151302486023552,8407.0
20,E02000022,0.7197169418620786,0.2802830581379215,0.12709865408630497,0.10420424587206882,0.006243929512973498,0.042736228666574165,7207.0
21,E02000023,0.78783130957044,0.21216869042956,0.08669539104321713,0.08734821778300039,0.004830917874396135,0.033294163728946335,7659.0
22,E02000024,0.8782897862232779,0.12171021377672209,0.06584323040380048,0.037149643705463184,0.0028503562945368173,0.015866983372921615,10525.0
23,E02000025,0.8632581695405764,0.13674183045942362,0.06535632461111782,0.05016278789340407,0.002894006993850235,0.01832871096105149,8293.0
24,E02000026,0.8757634201221473,0.12423657987785278,0.059627129540340724,0.044840887174541946,0.00273224043715847,0.017036322725811636,6222.0
25,E02000027,0.8367717797969001,0.16322822020309993,0.08145376803848209,0.05783003741314805,0.00427578834847675,0.01966862640299305,9355.0
26,E02000028,0.8368962787015044,0.16310372129849565,0.0723673792557403,0.06049089469517023,0.003800475059382423,0.02644497228820269,6315.0
27,E02000029,0.8178664353859497,0.1821335646140503,0.07426279271465741,0.07003469210754554,0.005745880312228968,0.032090199479618386,9224.0
28,E02000030,0.8796919071382079,0.12030809286179214,0.0648730744196138,0.039596441744413104,0.002495118246908223,0.01334345845085702,9218.0
29,E02000031,0.8269853124222056,0.17301468757779437,0.08451580781677868,0.05875031117749564,0.0043564849390092105,0.02539208364451083,8034.0
30,E02000032,0.8377440904419322,0.16225590955806782,0.07810894141829394,0.05614080164439877,0.0041109969167523125,0.023895169578622817,7784.0
31,E02000033,0.820904150768875,0.17909584923112498,0.08313099780321424,0.06486298994103365,0.004277951208232165,0.02682391027864493,8649.0
32,E02000034,0.7999545092687365,0.20004549073126351,0.09234618446491527,0.07198908222449676,0.00386671215739793,0.03184351188445354,8793.0
33,E02000035,0.7457627118644068,0.2542372881355932,0.12009685230024213,0.0887409200968523,0.0056900726392251815,0.03970944309927361,8260.0
34,E02000036,0.7937546057479735,0.20624539425202654,0.0898120854826824,0.08023212969786293,0.004513633014001474,0.03168754605747973,10856.0
35,E02000037,0.8370640791622634,0.1629359208377366,0.07781727351330579,0.05956383898549332,0.004034969737726967,0.02151983860121049,10409.0
36,E02000038,0.7875901875901876,0.2124098124098124,0.09648869648869648,0.0734006734006734,0.00481000481000481,0.03771043771043771,10395.0
37,E02000039,0.8335513882831806,0.1664486117168193,0.07123128361680477,0.06570722488733828,0.003343509230992877,0.026166593981683386,6879.0
38,E02000040,0.829654073736914,0.17034592626308603,0.09080564406008193,0.05325443786982249,0.0038689121529358215,0.02241693218024579,8788.0
39,E02000041,0.712189245427664,0.287810754572336,0.11641660278173256,0.1165261198116307,0.007447158033074143,0.047420873945898584,9131.0
40,E02000042,0.6899266416174629,0.31007335838253713,0.13732331365181608,0.11057434245840043,0.00966183574879227,0.05251386652352836,11178.0
41,E02000043,0.7872920643577856,0.21270793564221435,0.10485410417234797,0.06831197163894191,0.004090537223888737,0.03545132260703572,7334.0
42,E02000044,0.7419279088881061,0.2580720911118939,0.10437947634143478,0.10426206410707996,0.005870611717740989,0.04355993894563814,8517.0
43,E02000045,0.7761428291151657,0.22385717088483423,0.10202079654698842,0.08171473415734747,0.0063762997841867765,0.03374534039631156,10194.0
44,E02000046,0.7285479779137443,0.2714520220862558,0.12386211013281599,0.09998507685420087,0.005820026861662438,0.04178480823757648,6701.0
45,E02000047,0.6554288128432615,0.3445711871567385,0.12995352767215884,0.14643008027038446,0.008280523869877482,0.0599070553443177,11835.0
46,E02000048,0.8131011440720867,0.18689885592791333,0.09476561709020957,0.06398704059937228,0.003037359522122102,0.025108838716209374,9877.0
47,E02000049,0.716419396594643,0.28358060340535696,0.11620033854425968,0.11042517176142587,0.008861893856417405,0.04809319924325401,10043.0
48,E02000050,0.7745526838966202,0.22544731610337973,0.10188866799204771,0.08190854870775348,0.005964214711729622,0.035685884691848906,10060.0
49,E02000051,0.7702108467696471,0.22978915323035293,0.10869320103732101,0.0784755891306799,0.005299357311985568,0.03732100575036645,8869.0
50,E02000052,0.8053190371071166,0.19468096289288342,0.1111111111111111,0.05718490486702407,0.0026279827604330916,0.02375696415431515,9513.0
51,E02000054,0.6979492054868939,0.30205079451310607,0.12766535379600708,0.12250441396170039,0.005568382452804563,0.046312644302594054,7363.0
52,E02000055,0.6868972839069274,0.3131027160930726,0.13863576041758824,0.12182606387684686,0.005839157745731222,0.04680173405290631,11303.0
53,E02000056,0.8616238251613634,0.13837617483863662,0.07971917110180048,0.03850073604348318,0.0029441739327369493,0.017212093760616012,8831.0
54,E02000057,0.7693826510464657,0.23061734895353428,0.09582730025009872,0.08911412399631434,0.005923390812162696,0.03975253389495854,7597.0
55,E02000058,0.8131498470948012,0.18685015290519877,0.09531090723751275,0.06391437308868501,0.0026503567787971457,0.024974515800203875,9810.0
56,E02000059,0.630061955643351,0.369938044356649,0.14842417167998564,0.1510281045164766,0.007003681422286074,0.06348208673790069,11137.0
57,E02000060,0.8260309278350515,0.17396907216494845,0.08155375552282769,0.06093519882179676,0.003681885125184094,0.02779823269513991,10864.0
58,E02000061,0.7516679021497406,0.24833209785025945,0.12416604892512972,0.07734124042500617,0.005559673832468495,0.04126513466765505,8094.0
59,E02000062,0.6764048293337308,0.3235951706662692,0.12371441347443732,0.13131614249515577,0.008794157102399761,0.05977045759427634,6709.0
60,E02000063,0.6814774430966335,0.3185225569033665,0.1271636908818318,0.12566444050701922,0.008722911271636909,0.05697151424287856,7337.0
61,E02000064,0.753220232485077,0.24677976751492303,0.11749921457744267,0.08875274897895068,0.00471253534401508,0.03581526861451461,6366.0
62,E02000065,0.8615899151016208,0.13841008489837922,0.06418832004116284,0.048494983277591976,0.00463082068433239,0.021095960895292,7774.0
63,E02000066,0.8470420057180559,0.15295799428194415,0.059599736089729495,0.05377171761601056,0.006267868924565647,0.033318671651638446,9094.0
64,E02000067,0.8278260869565217,0.17217391304347826,0.06915601023017903,0.0680306905370844,0.005319693094629156,0.029667519181585677,9775.0
65,E02000068,0.8546579049091612,0.1453420950908388,0.0642958381651849,0.05347249065842031,0.0030923850019327404,0.024481381265300865,7761.0
66,E02000069,0.875470605270779,0.12452939472922096,0.05763104546770924,0.04401969302056183,0.003764842166232262,0.019113814074717638,6906.0
67,E02000070,0.8939992355714104,0.10600076442858963,0.051726334564912727,0.03783921518664798,0.0017836667091349217,0.014651547967893998,7849.0
68,E02000071,0.916936790923825,0.08306320907617504,0.037007023230686116,0.03119935170178282,0.0021609940572663426,0.012695840086439762,7404.0
69,E02000072,0.8907290144503978,0.10927098554960221,0.0543919467446014,0.038561454781620395,0.001948368241597662,0.014369215781782758,12318.0
70,E02000073,0.9121556540165672,0.08784434598343287,0.048352918512810636,0.02388749759198613,0.001830090541321518,0.013773839337314584,10382.0
71,E02000074,0.9112127609664555,0.08878723903354445,0.041402768003753226,0.032136992728125736,0.001993901008679334,0.01325357729298616,8526.0
72,E02000075,0.9281853281853282,0.07181467181467181,0.04221364221364221,0.019562419562419563,0.0016731016731016731,0.008365508365508366,7770.0
73,E02000077,0.8622838250254323,0.13771617497456765,0.06790437436419125,0.04552390640895219,0.004196337741607325,0.020091556459816886,7864.0
74,E02000078,0.93782722513089,0.06217277486910995,0.030366492146596858,0.02225130890052356,0.0015706806282722514,0.007984293193717278,7640.0
75,E02000079,0.8876935808015132,0.11230641919848681,0.05674429601607755,0.037593096110651376,0.002482562950703393,0.015486464121054498,8459.0
76,E02000080,0.8724254534276052,0.12757454657239473,0.06435085562045291,0.04313966594938006,0.0019469207910646582,0.018137104211497078,9759.0
77,E02000081,0.9168954329922635,0.08310456700773645,0.04255053656101822,0.027327177439480908,0.0021212877464437236,0.011105565260793612,8014.0
78,E02000082,0.9137433392539964,0.08625666074600355,0.04629218472468916,0.025310834813499113,0.002331261101243339,0.012322380106571936,9008.0
79,E02000083,0.9070024910047052,0.09299750899529477,0.04788264600055356,0.031183688532152413,0.0017529292370144847,0.012178245225574315,10839.0
80,E02000084,0.9275753068055039,0.0724246931944961,0.042301970992934174,0.01905912978802529,0.0011156563778356265,0.009947936035701004,10756.0
81,E02000085,0.9349413298565841,0.0650586701434159,0.029856584093872228,0.02229465449804433,0.0020860495436766623,0.010821382007822686,7670.0
82,E02000086,0.9511704724974868,0.048829527502513285,0.029010483986787305,0.015079707022834985,0.0007180812868016659,0.004021255206089329,6963.0
83,E02000087,0.9507680684966003,0.04923193150339965,0.02707126668345505,0.01599093427348275,0.0008813900780659784,0.00528834046839587,7942.0
84,E02000088,0.9606741573033708,0.03932584269662921,0.024077046548956663,0.009229534510433388,0.001070090957731407,0.004949170679507758,7476.0
85,E02000089,0.9528562048588313,0.047143795141168746,0.026920551543007223,0.014970453053184504,0.0011818778726198293,0.004070912672357189,7615.0
86,E02000090,0.9322414900449583,0.06775850995504175,0.0360736459002355,0.022800256904303148,0.001070434596446157,0.007814172554056947,9342.0
87,E02000091,0.9369534268863128,0.06304657311368721,0.03620093552979459,0.018100467764897293,0.0012202562538133007,0.007524913565182021,9834.0
88,E02000092,0.934020301445709,0.06597969855429099,0.030913565056905568,0.024300215318363582,0.0015379883112888342,0.009227929867733005,6502.0
89,E02000093,0.5933635255182024,0.40663647448179757,0.1536317714683853,0.173488939209197,0.01132206932590141,0.06819369447831389,11482.0
90,E02000094,0.6547192353643967,0.34528076463560337,0.13739545997610514,0.1342094782954998,0.009060135404221426,0.06461569095977698,10044.0
91,E02000095,0.5874913546092283,0.41250864539077164,0.15601225175377928,0.17191977077363896,0.013140993972927577,0.07143562889042585,10121.0
92,E02000096,0.6864314789687924,0.3135685210312076,0.1473541383989145,0.11194029850746269,0.007598371777476255,0.04667571234735414,7370.0
93,E02000097,0.6294162408957495,0.37058375910425045,0.1322969888031308,0.16577888900967497,0.009240134797260572,0.06326774649418415,9199.0
94,E02000098,0.6634106155113569,0.33658938448864306,0.14322702130163587,0.12439684594562787,0.009532776273979051,0.05943274096740026,8497.0
95,E02000099,0.580358123695485,0.419641876304515,0.15994727013072613,0.17532681533560365,0.013072613424145885,0.07129517741403933,9103.0
96,E02000100,0.6939229249011858,0.3060770750988142,0.15464426877470355,0.10647233201581027,0.006546442687747036,0.03841403162055336,8096.0
