,GEOGRAPHY_CODE,Can read and write but cannot speak Welsh,Can read but cannot speak or write Welsh,Can speak and other combinations of skills in Welsh,Can speak and read but cannot write Welsh,Can speak but cannot read or write Welsh,"Can speak, read and write Welsh",Can understand spoken Welsh only,Can write but cannot speak or read Welsh,No skills in Welsh,Total: All usual residents aged 3 years and over
0,W02000001,0.009903411174960264,0.012837755226800342,0.007947181807066878,0.028487590169947428,0.06810123486978849,0.47206259933977257,0.09157598728450911,0.0023230223743733952,0.30676121775278153,1
1,W02000002,0.004172684962285347,0.010110736639383727,0.0060985395602632005,0.026640988605360294,0.05055368319691863,0.45000802439415827,0.0845771144278607,0.0012839030653185683,0.36655432514845127,1
2,W02000003,0.010808179162609542,0.018889970788704965,0.004868549172346641,0.04313534566699124,0.08149951314508276,0.2865628042843233,0.19133398247322297,0.0018500486854917235,0.3610516066212269,1
3,W02000004,0.007587253414264037,0.014898606704373017,0.0031728514277831426,0.03200441440198648,0.06911298110084149,0.39067457580355913,0.1269140571113257,0.0026210511794730307,0.353014208856394,1
4,W02000005,0.006613426503618667,0.01509857748939356,0.005739955078612428,0.036061891689543296,0.060019965061143,0.37846269029198903,0.11093087097579236,0.002869977539306214,0.38420264537060145,1
5,W02000006,0.009845701689933872,0.00822924320352682,0.012637766348273329,0.03629684055841293,0.06583394562821455,0.6340925789860397,0.08023512123438648,0.003085966201322557,0.14974283614988979,1
6,W02000007,0.007332036510549154,0.012269938650306749,0.006733502917851264,0.026634744875056113,0.0577584916953464,0.4731408050276822,0.09007930570103247,0.0026934011671405056,0.3233577734550352,1
7,W02000008,0.010291595197255575,0.014236706689536879,0.006689536878216123,0.035334476843910806,0.07221269296740995,0.5063464837049743,0.10857632933104631,0.002915951972555746,0.24339622641509434,1
8,W02000009,0.004984662576687116,0.009074642126789366,0.00843558282208589,0.029013292433537834,0.0596881390593047,0.5649284253578732,0.0815439672801636,0.0016615541922290389,0.24066973415132925,1
9,W02000010,0.006497341996455995,0.017365623154164206,0.0030714707619610157,0.01831069108092144,0.032486709982279975,0.229060838747785,0.07761370348493798,0.001299468399291199,0.6142941523922032,1
10,W02000011,0.010258311704362873,0.018662711654925227,0.006921270547521938,0.04103324681745149,0.07156099369670003,0.4014336917562724,0.139290569768879,0.004449388209121246,0.30638981584476577,1
11,W02000012,0.008164803416656199,0.012310011305112422,0.009420927019218692,0.03492023615123728,0.05828413515889964,0.60180881798769,0.07612109031528702,0.003014696646149981,0.19595528199974876,1
12,W02000013,0.012183392112856685,0.007053542802180186,0.0110612375761462,0.031099711445976275,0.05610772683552421,0.6665597948060276,0.0604360371914075,0.0036870791920487335,0.15181147803783263,1
13,W02000014,0.011427700746609782,0.012494286149626695,0.008380313880847173,0.028035959165016,0.0611001066585403,0.5820508913606582,0.07892731982325156,0.004266341612067652,0.2133170806033826,1
14,W02000015,0.012717045732452923,0.005258009293225728,0.014673514306676448,0.02922474932746393,0.07507948153582783,0.7045732452922475,0.06040596722915138,0.005624847150892639,0.09244314013206163,1
15,W02000016,0.00986895324381168,0.006795016987542469,0.010839669956317749,0.03203365151270021,0.05630156932535189,0.681766704416761,0.05484549425659278,0.003235722375020223,0.14431321792590196,1
16,W02000017,0.010063919488644091,0.009927920576635387,0.012239902080783354,0.027879776961784307,0.049775601795185635,0.659594723242214,0.056847545219638244,0.003535971712226302,0.1701346389228886,1
17,W02000018,0.012066621346023114,0.010027192386131882,0.012236573759347382,0.02821210061182869,0.051835486063902106,0.6515975526852481,0.04503738953093134,0.005268524813052345,0.18371855880353502,1
18,W02000019,0.008146326467875806,0.009068552105748539,0.008453735013833385,0.023670458038733477,0.056102059637257916,0.580848447586843,0.0645557946510913,0.00261297264063941,0.24654165385797724,1
19,W02000020,0.010926365795724466,0.007759303246239113,0.01330166270783848,0.028028503562945367,0.046872525732383215,0.6142517814726841,0.057007125890736345,0.005700712589073635,0.2161520190023753,1
20,W02000021,0.006879216827622702,0.006085461039820082,0.008731313665828813,0.023548088371477708,0.04497949464214843,0.6637121312342903,0.059531684085196455,0.0037041936764122237,0.18282841645720332,1
21,W02000022,0.0060695236343571825,0.008828398013610447,0.005701673717123414,0.021519220158175464,0.05076328857826007,0.4828030163693213,0.07393783336398749,0.002207099503402612,0.348169946661762,1
22,W02000023,0.002323330106485963,0.0069699903194578895,0.0027105517909002904,0.015101645692158761,0.036979670861568247,0.6170377541142305,0.057308809293320426,0.0025169409486931267,0.2590513068731849,1
23,W02000024,0.004318100035984167,0.012054695933789134,0.006477150053976251,0.023029866858582222,0.04785894206549118,0.6003958258366319,0.05199712126664268,0.0017992083483267362,0.2520690896005757,1
24,W02000025,0.008505670446964642,0.014342895263509006,0.005837224816544363,0.033855903935957304,0.058038692461641096,0.44179452968645766,0.09156104069379586,0.0021681120747164776,0.3438959306204136,1
25,W02000026,0.006710430342815463,0.012399708242159009,0.005981035740335521,0.026695842450765863,0.051787016776075855,0.3161196207148067,0.08723559445660102,0.0020423048869438365,0.4910284463894967,1
26,W02000027,0.007381413359148112,0.018635043562439498,0.0015730880929332044,0.011616650532429816,0.0255324298160697,0.12354791868344628,0.0925701839303001,0.0018151016456921588,0.7173281703775412,1
27,W02000028,0.009779951100244499,0.01971271393643032,0.002139364303178484,0.01619804400977995,0.029645476772616138,0.1393643031784841,0.09886919315403422,0.0018337408312958435,0.6824572127139364,1
28,W02000029,0.009396890483512728,0.018622928412779773,0.0032461985306680334,0.018793780967025456,0.03348710063215445,0.15120451050743208,0.09943618657098924,0.0018793780967025456,0.6639330257987357,1
29,W02000030,0.00781114389862871,0.018052421454608576,0.002430133657351154,0.016663773650407915,0.03107099461898976,0.11925013018573165,0.08765839264016664,0.002256552681826072,0.7148064572122895,1
30,W02000031,0.0048823234852278415,0.009764646970455683,0.0023785678517776665,0.009764646970455683,0.01614922383575363,0.08362543815723586,0.05370555833750626,0.0015022533800701052,0.8182273410115173,1
31,W02000032,0.00745721271393643,0.020171149144254278,0.0024449877750611247,0.019926650366748167,0.038386308068459656,0.1821515892420538,0.12053789731051345,0.0006112469437652812,0.6083129584352078,1
32,W02000033,0.007874015748031496,0.01470806715198336,0.002228495023027782,0.012776704798692617,0.028227603625018572,0.14247511513890954,0.0885455355816372,0.0026741940276333383,0.7004902689050662,1
33,W02000034,0.008802347292611363,0.018538276873833023,0.003067484662576687,0.01867164577220592,0.03200853560949587,0.16057615364097091,0.09322485996265671,0.0020005334755934918,0.663110162710056,1
34,W02000035,0.008681560365783077,0.02037272832503762,0.003241115869892349,0.018289153837249682,0.03171663386966084,0.14006250723463365,0.09399236022687811,0.0031253617316819074,0.6805185785391827,1
35,W02000036,0.007466763795301402,0.014205062830085595,0.0033691495173920963,0.0145692952103442,0.021398652340193045,0.15170278637770898,0.07038790748497542,0.003278091422327445,0.7136222910216719,1
36,W02000037,0.010079193664506839,0.01900647948164147,0.005039596832253419,0.025629949604031678,0.04535637149028078,0.1988480921526278,0.11936645068394529,0.0037437005039596834,0.572930165586753,1
37,W02000038,0.005766062602965404,0.017462932454695223,0.001812191103789127,0.02059308072487644,0.051894563426688634,0.2372322899505766,0.12504118616144974,0.002471169686985173,0.5377265238879736,1
38,W02000039,0.0066937918361989765,0.016800105000656256,0.0032812705079406745,0.02953143457146607,0.060375377346108414,0.2806142538390865,0.13295708098175613,0.0018375114844467778,0.4679091744323402,1
39,W02000040,0.004972804972804973,0.010878010878010878,0.003418803418803419,0.016006216006216007,0.04195804195804196,0.4955710955710956,0.07303807303807304,0.0010878010878010878,0.3530691530691531,1
40,W02000041,0.006746175159619323,0.0125286110107216,0.0027707505119865077,0.028189374774123598,0.060233706782315384,0.45235513793518856,0.10143356222141911,0.002529815684857246,0.3332128659197687,1
41,W02000042,0.005259467040673212,0.012096774193548387,0.002279102384291725,0.011921458625525946,0.018934081346423562,0.08993688639551192,0.054873772791023845,0.002279102384291725,0.8024193548387096,1
42,W02000043,0.004120879120879121,0.01805337519623234,0.0027472527472527475,0.012951334379905808,0.020800627943485087,0.11008634222919937,0.06554160125588697,0.002551020408163265,0.7631475667189953,1
