,GEOGRAPHY_CODE,Can speak Welsh,Cannot speak Welsh,Total: All usual residents aged 3 years and over
0,W02000001,0.5766503667481663,0.4233496332518337,1
1,W02000002,0.5333012357567004,0.46669876424329965,1
2,W02000003,0.4160662122687439,0.583933787731256,1
3,W02000004,0.49496482273417025,0.5050351772658298,1
4,W02000005,0.48015476784822764,0.5198452321517724,1
5,W02000006,0.7486411047451154,0.2513588952548847,1
6,W02000007,0.564267544515936,0.43573245548406403,1
7,W02000008,0.6206896551724138,0.3793103448275862,1
8,W02000009,0.6619808306709265,0.3380191693290735,1
9,W02000010,0.2830144105835105,0.7169855894164895,1
10,W02000011,0.5210135970333746,0.4789864029666255,1
11,W02000012,0.7044341163170456,0.2955658836829544,1
12,W02000013,0.7647435897435897,0.23525641025641025,1
13,W02000014,0.6795672710650618,0.3204327289349383,1
14,W02000015,0.8235509904622157,0.1764490095377843,1
15,W02000016,0.7809415952111309,0.21905840478886912,1
16,W02000017,0.7495581237253569,0.2504418762746431,1
17,W02000018,0.7438817131203264,0.2561182868796737,1
18,W02000019,0.6690747002766677,0.3309252997233323,1
19,W02000020,0.7023432552248259,0.2976567447751742,1
20,W02000021,0.7409710279137453,0.2590289720862548,1
21,W02000022,0.5607871988228803,0.43921280117711975,1
22,W02000023,0.6718296224588577,0.3281703775411423,1
23,W02000024,0.6778837502249415,0.3221162497750585,1
24,W02000025,0.5396031349007837,0.4603968650992163,1
25,W02000026,0.4007004231723333,0.5992995768276668,1
26,W02000027,0.162270087124879,0.837729912875121,1
27,W02000028,0.1872229863976769,0.8127770136023231,1
28,W02000029,0.20673159063728003,0.7932684093627199,1
29,W02000030,0.169473866990797,0.830526133009203,1
30,W02000031,0.11193188932014524,0.8880681106798548,1
31,W02000032,0.24300207798557633,0.7569979220144236,1
32,W02000033,0.1854658938921088,0.8145341061078912,1
33,W02000034,0.21421902094171003,0.78578097905829,1
34,W02000035,0.19340277777777778,0.8065972222222222,1
35,W02000036,0.19103988344563833,0.8089601165543617,1
36,W02000037,0.27487401007919365,0.7251259899208063,1
37,W02000038,0.3115321252059308,0.6884678747940692,1
38,W02000039,0.37380233626460163,0.6261976637353983,1
39,W02000040,0.556954156954157,0.44304584304584305,1
40,W02000041,0.5434834979523007,0.45651650204769934,1
41,W02000042,0.12340052585451358,0.8765994741454864,1
