,GEOGRAPHY_CODE,1 person disabled under the Equality Act in household,2 or more people disabled under the Equality Act in household,No people disabled under the Equality Act in household,Total: All households
0,E02000001,0.1461726384364821,0.01506514657980456,0.8387622149837134,1
1,E02000002,0.26236933797909406,0.07665505226480836,0.6609756097560976,1
2,E02000003,0.21603053435114503,0.06208651399491094,0.721882951653944,1
3,E02000004,0.2368990905153746,0.06886097877869207,0.6942399307059333,1
4,E02000005,0.22580645161290322,0.07003032809484422,0.7041632202922525,1
5,E02000007,0.26503401360544215,0.06829931972789116,0.6666666666666666,1
6,E02000008,0.2521626297577855,0.08737024221453288,0.6604671280276817,1
7,E02000009,0.23348224782506466,0.06089818951328474,0.7056195626616506,1
8,E02000010,0.22482717162608956,0.07484220018034266,0.7003306281935677,1
9,E02000011,0.2218444538886528,0.06629834254143646,0.7118572035699108,1
10,E02000012,0.22445255474452555,0.07725060827250609,0.6982968369829684,1
11,E02000013,0.25414874001229254,0.07375537799631224,0.6720958819913952,1
12,E02000014,0.2423258559622196,0.08471074380165289,0.6729634002361276,1
13,E02000015,0.24925816023738873,0.05967688757006264,0.6910649521925486,1
14,E02000016,0.1870900026239832,0.0362109682498032,0.7766990291262136,1
15,E02000017,0.2166365280289331,0.06618444846292948,0.7171790235081374,1
16,E02000018,0.25819418676561534,0.07081014223871367,0.670995670995671,1
17,E02000019,0.22707423580786026,0.08265751715533375,0.690268247036806,1
18,E02000020,0.20136956986946286,0.05478279477851487,0.7438476353520223,1
19,E02000021,0.21474906111300784,0.05633321952884943,0.7289177193581428,1
20,E02000022,0.178175313059034,0.036493738819320214,0.7853309481216458,1
21,E02000023,0.23019151333082988,0.06759294029290275,0.7022155463762674,1
22,E02000024,0.2158482142857143,0.048214285714285716,0.7359375,1
23,E02000025,0.25066737853710624,0.04991991457554725,0.6994127068873465,1
24,E02000026,0.2034235668789809,0.06449044585987261,0.7320859872611465,1
25,E02000027,0.2572591587516961,0.06078697421981004,0.6819538670284939,1
26,E02000028,0.20839524517087668,0.04011887072808321,0.7514858841010401,1
27,E02000029,0.21850553007823037,0.05907742109522525,0.7224170488265443,1
28,E02000030,0.2151179312304632,0.05285592497868713,0.7320261437908496,1
29,E02000031,0.20649233543733092,0.03907424105801022,0.7544334235046588,1
30,E02000032,0.22776967930029154,0.06887755102040816,0.7033527696793003,1
31,E02000033,0.23876324076724878,0.047237331806470086,0.7139994274262811,1
32,E02000034,0.213768115942029,0.044593088071348944,0.7416387959866221,1
33,E02000035,0.19784580498866214,0.0391156462585034,0.7630385487528345,1
34,E02000036,0.2309837728194726,0.05172413793103448,0.717292089249493,1
35,E02000037,0.21199892386333063,0.06322302932472423,0.7247780468119451,1
36,E02000038,0.20374531835205992,0.05093632958801498,0.7453183520599251,1
37,E02000039,0.19222139117427076,0.04338070306656694,0.7643979057591623,1
38,E02000040,0.21566951566951567,0.05555555555555555,0.7287749287749288,1
39,E02000041,0.22646616541353384,0.05142857142857143,0.7221052631578947,1
40,E02000042,0.23197625106022052,0.0409245122985581,0.7270992366412213,1
41,E02000043,0.17779444861215304,0.052138034508627154,0.7700675168792198,1
42,E02000044,0.24299674267100976,0.06188925081433225,0.6951140065146579,1
43,E02000045,0.21889126814180349,0.05757792053295265,0.7235308113252439,1
44,E02000046,0.18895449808961445,0.03438693990969086,0.7766585620006947,1
45,E02000047,0.2320665083135392,0.06009501187648456,0.7078384798099763,1
46,E02000048,0.20835443037974682,0.04379746835443038,0.7478481012658228,1
47,E02000049,0.23204419889502761,0.05445935280189424,0.7134964483030781,1
48,E02000050,0.23797719385225583,0.06147744174516609,0.7005453644025781,1
49,E02000051,0.21270426989984187,0.04322614654717976,0.7440695835529784,1
50,E02000052,0.21975662133142448,0.04294917680744453,0.737294201861131,1
51,E02000054,0.22012790306294178,0.043756311006395154,0.7361157859306631,1
52,E02000055,0.20612380741069447,0.04260039937874418,0.7512757932105614,1
53,E02000056,0.19959325973271355,0.03282975014526438,0.7675769901220221,1
54,E02000057,0.2120428518655338,0.042482452899889174,0.745474695234577,1
55,E02000058,0.21186233829631437,0.03539175006102026,0.7527459116426654,1
56,E02000059,0.1988277727682597,0.047114517583408476,0.7540577096483319,1
57,E02000060,0.22976995940460082,0.04411366711772666,0.7261163734776725,1
58,E02000061,0.21466554715924993,0.02966694654352085,0.7556675062972292,1
59,E02000062,0.24024483550114767,0.05432287681713849,0.7054322876817138,1
60,E02000063,0.2154715648180855,0.053691275167785234,0.7308371600141292,1
61,E02000064,0.20419985517740769,0.049239681390296886,0.7465604634322954,1
62,E02000065,0.21572871572871574,0.050865800865800864,0.7334054834054834,1
63,E02000066,0.2464054130250916,0.06484352974344516,0.6887510572314632,1
64,E02000067,0.2191815214662315,0.06126035651518955,0.7195581220185789,1
65,E02000068,0.24311639549436795,0.062265331664580724,0.6946182728410513,1
66,E02000069,0.23293029871977242,0.0689900426742532,0.6980796586059744,1
67,E02000070,0.2641629535327817,0.06269891788669638,0.6731381285805219,1
68,E02000071,0.24479717813051147,0.07089947089947089,0.6843033509700176,1
69,E02000072,0.24290893580720835,0.08082746854339945,0.6762635956493922,1
70,E02000073,0.20596411422795047,0.06115744250694971,0.7328784432650999,1
71,E02000074,0.26234656009135027,0.08506994005138453,0.6525834998572652,1
72,E02000075,0.23054938075579548,0.0631946649730073,0.7062559542711973,1
73,E02000077,0.23006134969325154,0.0736196319018405,0.696319018404908,1
74,E02000078,0.22027161311692614,0.06127856906260351,0.7184498178204703,1
75,E02000079,0.22237723214285715,0.054408482142857144,0.7232142857142857,1
76,E02000080,0.21520314547837482,0.058453473132372216,0.7263433813892529,1
77,E02000081,0.2471772963075984,0.07018614586512054,0.682636557827281,1
78,E02000082,0.19111240197502177,0.05663665408074354,0.7522509439442346,1
79,E02000083,0.2364986498649865,0.07043204320432044,0.693069306930693,1
80,E02000084,0.21528935460824006,0.053584186711121695,0.7311264586806383,1
81,E02000085,0.22193296452977546,0.05076472502440612,0.7273023104458184,1
82,E02000086,0.2005740940078938,0.0563329745245784,0.7430929314675279,1
83,E02000087,0.21566265060240963,0.05542168674698795,0.7289156626506024,1
84,E02000088,0.21830985915492956,0.059691482226693494,0.721998658618377,1
85,E02000089,0.21797520661157024,0.060261707988980714,0.721763085399449,1
86,E02000090,0.22031473533619456,0.04053409632808774,0.7391511683357177,1
87,E02000091,0.2534292781650551,0.049921295255228246,0.6966494265797166,1
88,E02000092,0.27202359012163657,0.08477699963140435,0.643199410246959,1
89,E02000093,0.2018716577540107,0.05160427807486631,0.746524064171123,1
90,E02000094,0.21603691952696857,0.04874531295067782,0.7352177675223536,1
91,E02000095,0.2106089139987445,0.05775266792215945,0.731638418079096,1
92,E02000096,0.2133706965572458,0.0644515612489992,0.722177742193755,1
93,E02000097,0.2369980250164582,0.06287030941408822,0.7001316655694536,1
94,E02000098,0.24791376912378305,0.05737134909596662,0.6947148817802503,1
