,GEOGRAPHY_CODE,Number of households
0,E02000001,4914.0
1,E02000002,2870.0
2,E02000003,3930.0
3,E02000004,2307.0
4,E02000005,3628.0
5,E02000007,3675.0
6,E02000008,4624.0
7,E02000009,4254.0
8,E02000010,3327.0
9,E02000011,2353.0
10,E02000012,3289.0
11,E02000013,3254.0
12,E02000014,3388.0
13,E02000015,3033.0
14,E02000016,3811.0
15,E02000017,2765.0
16,E02000018,3234.0
17,E02000019,3206.0
18,E02000020,4673.0
19,E02000021,2930.0
20,E02000022,2796.0
21,E02000023,2663.0
22,E02000024,4477.0
23,E02000025,3746.0
24,E02000026,2512.0
25,E02000027,3686.0
26,E02000028,2692.0
27,E02000029,3704.0
28,E02000030,3519.0
29,E02000031,3327.0
30,E02000032,2745.0
31,E02000033,3494.0
32,E02000034,3588.0
33,E02000035,3528.0
34,E02000036,3944.0
35,E02000037,3717.0
36,E02000038,4005.0
37,E02000039,2674.0
38,E02000040,3509.0
39,E02000041,3325.0
40,E02000042,4716.0
41,E02000043,2664.0
42,E02000044,3070.0
43,E02000045,4202.0
44,E02000046,2879.0
45,E02000047,4210.0
46,E02000048,3950.0
47,E02000049,3802.0
48,E02000050,4034.0
49,E02000051,3793.0
50,E02000052,4191.0
51,E02000054,2971.0
52,E02000055,4506.0
53,E02000056,3442.0
54,E02000057,2706.0
55,E02000058,4097.0
56,E02000059,4433.0
57,E02000060,3695.0
58,E02000061,3573.0
59,E02000062,2615.0
60,E02000063,2833.0
61,E02000064,2762.0
62,E02000065,2776.0
63,E02000066,3547.0
64,E02000067,3983.0
65,E02000068,3196.0
66,E02000069,2812.0
67,E02000070,3140.0
68,E02000071,2834.0
69,E02000072,4688.0
70,E02000073,3956.0
71,E02000074,3503.0
72,E02000075,3149.0
73,E02000077,2936.0
74,E02000078,3019.0
75,E02000079,3586.0
76,E02000080,3815.0
77,E02000081,3279.0
78,E02000082,3443.0
79,E02000083,4444.0
80,E02000084,4199.0
81,E02000085,3073.0
82,E02000086,2788.0
83,E02000087,3320.0
84,E02000088,2980.0
85,E02000089,2904.0
86,E02000090,4194.0
87,E02000091,4448.0
88,E02000092,2714.0
89,E02000093,3738.0
90,E02000094,3467.0
91,E02000095,3184.0
92,E02000096,2497.0
93,E02000097,3038.0
94,E02000098,2875.0
95,E02000099,2917.0
96,E02000100,2567.0
97,E02000101,3386.0
98,E02000102,2685.0
99,E02000103,3462.0
100,E02000104,2416.0
101,E02000105,3108.0
102,E02000106,3586.0
103,E02000107,4362.0
104,E02000108,2273.0
105,E02000110,3094.0
106,E02000111,3190.0
107,E02000112,3496.0
108,E02000113,3289.0
109,E02000114,3707.0
110,E02000115,3877.0
111,E02000116,3237.0
112,E02000117,4759.0
113,E02000118,3157.0
114,E02000119,3952.0
115,E02000120,4243.0
116,E02000121,3627.0
117,E02000122,3160.0
118,E02000123,5539.0
119,E02000124,4161.0
120,E02000125,3942.0
121,E02000126,3405.0
122,E02000127,3785.0
123,E02000128,3063.0
124,E02000130,3665.0
125,E02000131,5068.0
126,E02000132,4942.0
127,E02000133,4328.0
128,E02000134,5300.0
129,E02000135,4443.0
130,E02000136,2295.0
131,E02000137,3674.0
132,E02000138,4139.0
133,E02000139,3308.0
134,E02000140,3339.0
135,E02000141,3092.0
136,E02000142,3452.0
137,E02000144,4312.0
138,E02000145,3514.0
139,E02000146,4040.0
140,E02000147,3167.0
141,E02000148,2699.0
142,E02000149,3284.0
143,E02000150,3115.0
144,E02000151,2970.0
145,E02000152,3096.0
146,E02000153,2895.0
147,E02000154,3573.0
148,E02000155,3040.0
149,E02000156,4861.0
150,E02000157,3279.0
151,E02000158,3034.0
152,E02000159,2822.0
153,E02000160,3042.0
154,E02000161,3345.0
