,GEOGRAPHY_CODE,A caravan or other mobile or temporary structure,Detached,"In a commercial building, for example, in an office building, hotel or over a shop",In a purpose-built block of flats or tenement,"Part of a converted or shared house, including bedsits","Part of another converted building, for example, former school, church or warehouse",Semi-detached,Terraced,Total
0,E02000001,0.0,0.0014245014245014246,0.04131054131054131,0.8695563695563695,0.013431013431013432,0.055352055352055354,0.0030525030525030525,0.015873015873015872,1
1,E02000002,0.0003484320557491289,0.04494773519163763,0.003832752613240418,0.3829268292682927,0.011149825783972125,0.0013937282229965157,0.27282229965156796,0.2825783972125436,1
2,E02000003,0.0007635530669381522,0.0447951132603716,0.021379485874268262,0.25400865360142527,0.04326800712649529,0.0050903537795876815,0.2736065156528379,0.35708831763807586,1
3,E02000004,0.0021654395842356,0.043308791684711995,0.004763967085318319,0.11650064963187527,0.015158077089649198,0.00259852750108272,0.38891294932871373,0.42659159809441316,1
4,E02000005,0.0002756339581036384,0.05926130099228225,0.012403528114663727,0.10143329658213891,0.025633958103638367,0.0016538037486218302,0.22381477398015434,0.5755237045203969,1
5,E02000007,0.0002719608376393799,0.03753059559423443,0.007342942616263258,0.39053576285014957,0.009518629317378298,0.0016317650258362796,0.24639651890127823,0.30677182485722054,1
6,E02000008,0.0,0.06076989619377163,0.007136678200692042,0.11980968858131488,0.02833044982698962,0.0008650519031141869,0.23118512110726644,0.5519031141868512,1
7,E02000009,0.0004701457451810061,0.05101081335213916,0.016690173953925715,0.2830277385989657,0.01622002820874471,0.011283497884344146,0.22143864598025387,0.3998589562764457,1
8,E02000010,0.0003006614552014432,0.05381840048105833,0.0024052916416115455,0.10763680096211665,0.024052916416115455,0.0012026458208057728,0.23902585688514733,0.5715574263379435,1
9,E02000011,0.00042498937526561835,0.07352316192095197,0.016574585635359115,0.2222694432639184,0.0208244793880153,0.0029749256268593286,0.25754356141096474,0.4058648533786655,1
10,E02000012,0.0006080875646093037,0.043478260869565216,0.007601094557616297,0.2097902097902098,0.008817269686834904,0.0,0.25296442687747034,0.47674065065369414,1
11,E02000013,0.0009225092250922509,0.06488314883148831,0.006457564575645757,0.10239852398523985,0.026445264452644526,0.0009225092250922509,0.27337023370233704,0.52460024600246,1
12,E02000014,0.0008854781582054309,0.06729634002361275,0.010625737898465172,0.06965761511216056,0.02243211334120425,0.0008854781582054309,0.20070838252656434,0.627508854781582,1
13,E02000015,0.0,0.040224200461589185,0.01582591493570722,0.4981866139136169,0.014507088691064951,0.0016485328058028356,0.2083745466534784,0.2212331025387405,1
14,E02000016,0.002362204724409449,0.014698162729658792,0.02047244094488189,0.7879265091863517,0.014960629921259842,0.005774278215223097,0.04383202099737533,0.1099737532808399,1
15,E02000017,0.0007233273056057866,0.07414104882459313,0.005786618444846293,0.19095840867992767,0.06148282097649186,0.005786618444846293,0.18191681735985535,0.47920433996383366,1
16,E02000018,0.0006186204763377668,0.05103618929786576,0.007732755954222085,0.1920816579028766,0.01639344262295082,0.0021651716671821837,0.2084751005258274,0.5214970615527375,1
17,E02000019,0.0006238303181534623,0.06019962570180911,0.0015595757953836558,0.0991890205864005,0.007485963817841547,0.0,0.25421085464753584,0.5767311291328758,1
18,E02000020,0.0006419858763107211,0.05628076182323989,0.005991868178900064,0.37063984592338967,0.02075754333404665,0.0010699764605178687,0.19195377701690564,0.3526642413866895,1
19,E02000021,0.0013656538067599864,0.06828269033799932,0.014680778422669852,0.1495390918402185,0.03414134516899966,0.0013656538067599864,0.25059747354045747,0.4800273130761352,1
20,E02000022,0.003934191702432046,0.009656652360515022,0.002861230329041488,0.8755364806866953,0.006080114449213162,0.003218884120171674,0.033619456366237484,0.06509298998569385,1
21,E02000023,0.0007510326699211416,0.04280886218550507,0.006383777694329703,0.5016898235073226,0.010889973713856553,0.0003755163349605708,0.14983101764926773,0.2872699962448366,1
22,E02000024,0.00022341376228775692,0.14857015192135836,0.02680965147453083,0.2359249329758713,0.06099195710455764,0.017202859696157282,0.32082216264521896,0.18945487042001788,1
23,E02000025,0.0002670940170940171,0.10603632478632478,0.007478632478632479,0.41746794871794873,0.08092948717948718,0.003205128205128205,0.30101495726495725,0.08360042735042734,1
24,E02000026,0.0,0.16122611464968153,0.0023885350318471337,0.18949044585987262,0.04856687898089172,0.006767515923566879,0.4637738853503185,0.12778662420382167,1
25,E02000027,0.0008138903960933261,0.0737927292457949,0.002984264785675529,0.27509495387954425,0.031199131850244168,0.002984264785675529,0.35838307107976125,0.2547476939772111,1
26,E02000028,0.0003714710252600297,0.07912332838038633,0.020059435364041606,0.37964338781575035,0.05312035661218425,0.01411589895988113,0.3725854383358098,0.08098068350668648,1
27,E02000029,0.0002697599136768276,0.0663609387644996,0.026436471540329107,0.3342325330455894,0.0820070137577556,0.006474237928243863,0.275424871864041,0.20879417318586457,1
28,E02000030,0.033238636363636366,0.4011363636363636,0.003693181818181818,0.09829545454545455,0.015056818181818182,0.0022727272727272726,0.32698863636363634,0.11931818181818182,1
29,E02000031,0.00030057108506161706,0.1935677787796814,0.01923654944394349,0.34595731890592124,0.03005710850616171,0.009317703636910129,0.25999398857829875,0.14156898106402163,1
30,E02000032,0.0007288629737609329,0.09183673469387756,0.008381924198250729,0.04045189504373178,0.01020408163265306,0.0,0.6454081632653061,0.20298833819241982,1
31,E02000033,0.0,0.026903262736119062,0.006868918145392101,0.2593016599885518,0.03921007441327991,0.003720663995420721,0.3325701202060675,0.3314253005151689,1
32,E02000034,0.0005577244841048522,0.09035136642498606,0.012548800892359175,0.39040713887339656,0.0897936419408812,0.005577244841048522,0.30730619074177357,0.10345789180145008,1
33,E02000035,0.00028336639274582036,0.1003117030320204,0.00821762538962879,0.4791725701331822,0.08415981864550864,0.006800793425899688,0.17908756021535846,0.141966562765656,1
34,E02000036,0.00025348542458808617,0.09150823827629911,0.00861850443599493,0.2770595690747782,0.04106463878326996,0.0022813688212927757,0.4806083650190114,0.09860583016476553,1
35,E02000037,0.0002690341673392521,0.24724239978477267,0.002421307506053269,0.30669895076674736,0.01560398170567662,0.0013451708366962604,0.35996771589991927,0.06645143933279526,1
36,E02000038,0.0009995002498750624,0.05172413793103448,0.011244377811094454,0.2871064467766117,0.12518740629685157,0.04997501249375312,0.28235882058970513,0.19140429785107446,1
37,E02000039,0.00037397157816005983,0.3036649214659686,0.034031413612565446,0.23485415108451757,0.08900523560209424,0.008975317875841436,0.23298429319371727,0.09611069558713538,1
38,E02000040,0.0005699629524080935,0.13194642348247365,0.003989740666856654,0.3949843260188088,0.03818751781134226,0.013394129381590196,0.286691365061271,0.13023653462524937,1
39,E02000041,0.0006016847172081829,0.09957882069795428,0.033995186522262334,0.246690734055355,0.06768953068592058,0.007521058965102286,0.42418772563176893,0.1197352587244284,1
40,E02000042,0.001271725307333616,0.023950826621449768,0.0317931326833404,0.42390843577787196,0.1649003815175922,0.011869436201780416,0.18630775752437473,0.1559983043662569,1
41,E02000043,0.00037509377344336085,0.09564891222805702,0.0037509377344336083,0.11665416354088522,0.10877719429857464,0.0015003750937734434,0.5975243810952738,0.07576894223555888,1
42,E02000044,0.0,0.09804560260586319,0.00749185667752443,0.20325732899022803,0.06742671009771987,0.006514657980456026,0.23550488599348535,0.3817589576547231,1
43,E02000045,0.0,0.044026653974297954,0.006663493574488339,0.43169919086149455,0.08567348881485007,0.003093764873869586,0.20466444550214183,0.22417896239885768,1
44,E02000046,0.0003473428273706148,0.030913511635984717,0.027787426189649182,0.27752691906912125,0.2726641194859326,0.008336227856894755,0.23966655088572422,0.14275790204932268,1
45,E02000047,0.0,0.03491686460807601,0.011163895486935867,0.3824228028503563,0.02541567695961995,0.00332541567695962,0.2330166270783848,0.30973871733966746,1
46,E02000048,0.0002532286654849329,0.09014940491263611,0.006837173968093188,0.3312230944542922,0.07217016966320587,0.0035452013167890607,0.41073689541656117,0.08508483160293745,1
47,E02000049,0.0,0.027617043661230932,0.0013150973172014729,0.644660704892162,0.015255128879537085,0.001841136244082062,0.0970541820094687,0.21225670699631774,1
48,E02000050,0.00024783147459727387,0.024287484510532836,0.008178438661710037,0.38463444857496903,0.11053283767038413,0.0052044609665427505,0.17224287484510534,0.2946716232961586,1
49,E02000051,0.0002635740643120717,0.14786505007907222,0.015287295730100159,0.48550342646283606,0.13231418028466,0.007380073800738007,0.16710595677385345,0.04428044280442804,1
50,E02000052,0.0011936022917164002,0.016471711625686322,0.02124612079255192,0.43303891143470996,0.15373597517307233,0.00501312962520888,0.107424206254476,0.26187634280257815,1
51,E02000054,0.0006734006734006734,0.14175084175084174,0.0026936026936026937,0.39326599326599326,0.16026936026936026,0.004377104377104377,0.2727272727272727,0.024242424242424242,1
52,E02000055,0.0004438526409232135,0.13515312916111852,0.02663115845539281,0.47758544163337774,0.15534842432312473,0.007101642254771416,0.13293386595650244,0.06480248557478917,1
53,E02000056,0.0,0.2611853573503777,0.013073794305636257,0.31841952353282976,0.03747821034282394,0.004357931435212086,0.32248692620569436,0.04299825682742592,1
54,E02000057,0.0,0.17079482439926064,0.012199630314232901,0.3438077634011091,0.10979667282809612,0.005175600739371534,0.2476894639556377,0.11053604436229206,1
55,E02000058,0.000488162069807176,0.11422992433487918,0.017573834513058335,0.26116670734683917,0.12252867952160117,0.005369782767878936,0.30632169880400295,0.17232121064193312,1
56,E02000059,0.0004508566275924256,0.04080252479711452,0.0087917042380523,0.46460775473399457,0.09761045987376014,0.0036068530207394047,0.18101893597835889,0.20311091073038773,1
57,E02000060,0.00027063599458728013,0.1115020297699594,0.0062246278755074425,0.27604871447902574,0.19133964817320703,0.008389715832205684,0.3253044654939107,0.08092016238159676,1
58,E02000061,0.0008396305625524769,0.1200671704450042,0.039182759585782254,0.39238734956619087,0.18108032465715085,0.008396305625524769,0.2264203750349846,0.03162608452280996,1
59,E02000062,0.0007648183556405354,0.04397705544933078,0.014149139579349905,0.3453154875717017,0.15678776290630975,0.004206500956022944,0.2,0.23479923518164436,1
60,E02000063,0.0014114326040931546,0.05575158786167961,0.0038814396612561752,0.25970359915314045,0.14714184897671137,0.004234297812279464,0.44036697247706424,0.08750882145377559,1
61,E02000064,0.0007243752263672582,0.04889532777978993,0.013763129300977906,0.6019558131111916,0.09380659181455994,0.0065193770373053244,0.11300253531329228,0.12133285041651576,1
62,E02000065,0.001081081081081081,0.05009009009009009,0.002162162162162162,0.30486486486486486,0.010450450450450451,0.002162162162162162,0.1837837837837838,0.4454054054054054,1
63,E02000066,0.0005640157924421884,0.05922165820642978,0.0011280315848843769,0.45967287084038355,0.0056401579244218835,0.0014100394811054709,0.11703327693175408,0.3553299492385787,1
64,E02000067,0.0007535795026375283,0.052248178849535296,0.015071590052750565,0.41873901029891986,0.037176588796784725,0.006531022356191912,0.19291635267520724,0.2765636774679729,1
65,E02000068,0.0015644555694618273,0.04098873591989988,0.009073842302878598,0.4599499374217772,0.01939924906132666,0.005632040050062578,0.1677096370463079,0.29568210262828537,1
66,E02000069,0.00035561877667140827,0.11415362731152205,0.0035561877667140826,0.2951635846372688,0.040896159317211946,0.008890469416785207,0.2834281650071124,0.25355618776671407,1
67,E02000070,0.0003184713375796178,0.07165605095541401,0.006687898089171975,0.14681528662420382,0.013694267515923567,0.010509554140127388,0.5611464968152866,0.189171974522293,1
68,E02000071,0.0,0.05998588567395907,0.014820042342978124,0.09915314043754411,0.019054340155257588,0.0017642907551164433,0.4389555398729711,0.3662667607621736,1
69,E02000072,0.0004266211604095563,0.032423208191126277,0.0040529010238907846,0.30162116040955633,0.010025597269624573,0.0019197952218430034,0.2766638225255973,0.3728668941979522,1
70,E02000073,0.00025297242600556537,0.03010371869466228,0.010118897040222615,0.037186946622818115,0.006324310650139135,0.0010118897040222615,0.8874272704275235,0.02757399443460663,1
