,GEOGRAPHY_CODE,Not in employment: Never worked,Not in employment: Not worked in the last 12 months,Not in employment: Worked in the last 12 months,Total: All usual residents aged 16 years and over not in employment the week before the census
0,E02000001,0.27629099133056917,0.5322276667923106,0.19148134187712024,2653.0
1,E02000002,0.40240349599417335,0.46722505462490893,0.1303714493809177,2746.0
2,E02000003,0.3768356885563868,0.46106954835134384,0.16209476309226933,3609.0
3,E02000004,0.3225806451612903,0.538391640163562,0.13902771467514766,2201.0
4,E02000005,0.4193341869398207,0.4295774647887324,0.15108834827144688,3124.0
5,E02000007,0.38786362214576164,0.46230841413825463,0.14982796371598373,3197.0
6,E02000008,0.4055876685934489,0.45134874759152216,0.1430635838150289,4152.0
7,E02000009,0.4260581336053034,0.41330953595104536,0.1606323304436512,3922.0
8,E02000010,0.400492264416315,0.4345991561181435,0.1649085794655415,2844.0
9,E02000011,0.3728959861890376,0.48467846353042726,0.14242555028053516,2317.0
10,E02000012,0.47774869109947643,0.3842931937172775,0.13795811518324608,3820.0
11,E02000013,0.40864572779466396,0.4495103005741304,0.14184397163120568,2961.0
12,E02000014,0.38637851997380485,0.4721676489849378,0.14145383104125736,3054.0
13,E02000015,0.3930842607313196,0.4435612082670906,0.16335453100158984,2516.0
14,E02000016,0.46866754617414247,0.35422163588390504,0.17711081794195252,3032.0
15,E02000017,0.47107990638582414,0.3781344032096289,0.15078569040454698,2991.0
16,E02000018,0.40345629777334663,0.42838152210036556,0.1681621801262878,3009.0
17,E02000019,0.4205574912891986,0.42717770034843205,0.15226480836236933,2870.0
18,E02000020,0.4736710756176691,0.3711005739955079,0.15522835038682306,4007.0
19,E02000021,0.40435926343479894,0.44344231491920333,0.15219842164599776,2661.0
20,E02000022,0.47041707080504364,0.3288069835111542,0.20077594568380214,2062.0
21,E02000023,0.46621905161561056,0.3759966428871171,0.15778430549727235,2383.0
22,E02000024,0.2111111111111111,0.6563888888888889,0.1325,3600.0
23,E02000025,0.2724014336917563,0.5731182795698925,0.15448028673835126,2790.0
24,E02000026,0.24966502903081733,0.6123269316659223,0.1380080393032604,2239.0
25,E02000027,0.3284848484848485,0.5409090909090909,0.13060606060606061,3300.0
26,E02000028,0.2690230731467845,0.5900834560628375,0.140893470790378,2037.0
27,E02000029,0.31261101243339257,0.5470692717584369,0.14031971580817051,2815.0
28,E02000030,0.2865689500448699,0.5901884534848938,0.12324259647023632,3343.0
29,E02000031,0.2776756160353071,0.5939683707245311,0.12835601324016183,2719.0
30,E02000032,0.2885931558935361,0.5901140684410646,0.12129277566539924,2630.0
31,E02000033,0.323869610935857,0.5401331931300386,0.13599719593410445,2853.0
32,E02000034,0.2862676056338028,0.5707746478873239,0.14295774647887324,2840.0
33,E02000035,0.30827611131189014,0.5381279363932057,0.15359595229490422,2767.0
34,E02000036,0.3512080141426046,0.5182675309369476,0.13052445492044784,3394.0
35,E02000037,0.32219127205199627,0.5301764159702879,0.14763231197771587,3231.0
36,E02000038,0.3527165932452276,0.5142437591776798,0.13303964757709252,3405.0
37,E02000039,0.2863187588152327,0.5637047484720263,0.14997649271274094,2127.0
38,E02000040,0.35320315176430284,0.5166152792052072,0.13018156903048989,2919.0
39,E02000041,0.34690444145356664,0.5033647375504711,0.14973082099596233,2972.0
40,E02000042,0.34925606891151134,0.5016966849386583,0.14904724614983034,3831.0
41,E02000043,0.2926829268292683,0.5742793791574279,0.13303769401330376,2255.0
42,E02000044,0.37644859813084114,0.4478504672897196,0.17570093457943925,2675.0
43,E02000045,0.35295893719806765,0.48490338164251207,0.1621376811594203,3312.0
44,E02000046,0.2997870074547391,0.5303514376996805,0.1698615548455804,1878.0
45,E02000047,0.4185203094777563,0.41416827852998067,0.16731141199226304,4136.0
46,E02000048,0.2987692307692308,0.5424615384615384,0.15876923076923077,3250.0
47,E02000049,0.44968833481745324,0.40783615316117544,0.14247551202137132,3369.0
48,E02000050,0.34889791183294666,0.4866589327146172,0.1644431554524362,3448.0
49,E02000051,0.3062519834973024,0.5464931767692796,0.14725483973341796,3151.0
50,E02000052,0.2614356087262491,0.5629838142153413,0.17558057705840957,2842.0
51,E02000054,0.34103092783505157,0.4725773195876289,0.18639175257731957,2425.0
52,E02000055,0.331628532974428,0.4648721399730821,0.2034993270524899,3715.0
53,E02000056,0.28445049336509015,0.5869343314052399,0.12861517522966995,2939.0
54,E02000057,0.3427974947807933,0.46931106471816286,0.18789144050104384,2395.0
55,E02000058,0.2948157401623985,0.5677701436602124,0.13741411617738913,3202.0
56,E02000059,0.36264351722206667,0.4603752450294035,0.17698123774852983,3571.0
57,E02000060,0.3896416741945197,0.4817825956037338,0.12857573020174645,3321.0
58,E02000061,0.33965068747677446,0.5131921218877741,0.14715719063545152,2691.0
59,E02000062,0.4174468085106383,0.42851063829787234,0.15404255319148935,2350.0
60,E02000063,0.4217276499434176,0.42927197284043755,0.14900037721614484,2651.0
61,E02000064,0.36584227718152124,0.46803546430237986,0.16612225851609894,2143.0
62,E02000065,0.37531699070160607,0.4467455621301775,0.1779374471682164,2366.0
63,E02000066,0.3737957610789981,0.4598587026332691,0.16634553628773283,3114.0
64,E02000067,0.345225959904859,0.5056065239551478,0.1491675161399932,2943.0
65,E02000068,0.3314097279472383,0.5119538334707338,0.15663643858202803,2426.0
66,E02000069,0.27597109304426376,0.5989159891598916,0.12511291779584463,2214.0
67,E02000070,0.24720774385703648,0.6392405063291139,0.11355174981384959,2686.0
68,E02000071,0.2870954182429592,0.5720891130727196,0.14081546868432115,2379.0
69,E02000072,0.346027397260274,0.4794520547945205,0.17452054794520547,3650.0
70,E02000073,0.23131884489431379,0.6558499553438524,0.11283119976183388,3359.0
71,E02000074,0.30185317177476834,0.5616535994297933,0.13649322879543835,2806.0
72,E02000075,0.2,0.6966608084358523,0.10333919156414763,2845.0
73,E02000077,0.2928030303030303,0.5693181818181818,0.13787878787878788,2640.0
74,E02000078,0.20889432884536924,0.6707466340269278,0.12035903712770298,2451.0
75,E02000079,0.22472311539835654,0.6605930689531976,0.11468381564844587,2799.0
76,E02000080,0.23956674100031858,0.6307741318891367,0.12965912711054475,3139.0
77,E02000081,0.21652832912306028,0.6734031035727174,0.1100685673042223,2771.0
78,E02000082,0.24683301343570058,0.6253358925143954,0.12783109404990403,2605.0
79,E02000083,0.2815862280971411,0.5877651398708884,0.1306486320319705,3253.0
80,E02000084,0.20963503649635037,0.6607299270072993,0.12963503649635036,3425.0
81,E02000085,0.23906581740976646,0.6360934182590233,0.12484076433121019,2355.0
82,E02000086,0.1982102908277405,0.6769574944071588,0.12483221476510067,2235.0
83,E02000087,0.20358187134502925,0.6739766081871345,0.12244152046783625,2736.0
84,E02000088,0.20587002096436058,0.6880503144654088,0.1060796645702306,2385.0
85,E02000089,0.21689059500959693,0.6560460652591171,0.127063339731286,2605.0
86,E02000090,0.20507524343464148,0.6205370315727353,0.1743877249926232,3389.0
87,E02000091,0.2089593007375034,0.6711281070745698,0.1199125921879268,3661.0
88,E02000092,0.3044210526315789,0.5663157894736842,0.12926315789473683,2375.0
89,E02000093,0.38137822198842714,0.4647553918990005,0.15386638611257233,3802.0
90,E02000094,0.38443256090314915,0.4619726678550208,0.15359477124183007,3366.0
91,E02000095,0.3805970149253731,0.46039035591274396,0.15901262916188288,3484.0
92,E02000096,0.3405238828967643,0.5485362095531587,0.11093990755007704,2596.0
93,E02000097,0.38622848200312987,0.4732394366197183,0.1405320813771518,3195.0
94,E02000098,0.4391809290953545,0.43215158924205377,0.12866748166259168,3272.0
95,E02000099,0.394774011299435,0.4431497175141243,0.1620762711864407,2832.0
96,E02000100,0.3435397039030956,0.5057200538358008,0.15074024226110364,2972.0
97,E02000101,0.4585392641405821,0.3929159802306425,0.1485447556287754,3642.0
98,E02000102,0.4953364423717522,0.38307794803464357,0.12158560959360426,3002.0
99,E02000103,0.4231303864331387,0.42424242424242425,0.15262718932443703,3597.0
100,E02000104,0.4165733482642777,0.4497946995147443,0.13363195222097798,2679.0
101,E02000105,0.4497223935842073,0.39636027143738434,0.1539173349784084,3242.0
102,E02000106,0.4361081654294804,0.4080063626723224,0.15588547189819724,3772.0
103,E02000107,0.4175141242937853,0.40508474576271186,0.17740112994350282,3540.0
104,E02000108,0.4344857020913359,0.4050362782757149,0.16047801963294922,2343.0
105,E02000110,0.3643189131212013,0.48087236324633537,0.15480872363246334,2797.0
106,E02000111,0.4619098712446352,0.3851931330472103,0.15289699570815452,3728.0
107,E02000112,0.40491984521835267,0.4126589275843007,0.1824212271973466,3618.0
108,E02000113,0.48732747804265997,0.3698870765370138,0.14278544542032623,3985.0
109,E02000114,0.385219564441271,0.432345590860407,0.18243484469832202,2801.0
110,E02000115,0.38879159369527144,0.43572679509632223,0.1754816112084063,2855.0
111,E02000116,0.4685172647257955,0.37542315504400814,0.15605958023019634,2954.0
112,E02000117,0.45302445302445304,0.40004290004290005,0.14693264693264693,4662.0
113,E02000118,0.4726464870869203,0.3721188558733685,0.1552346570397112,3601.0
114,E02000119,0.4817576564580559,0.3571238348868176,0.1611185086551265,3755.0
115,E02000120,0.34128225175918686,0.47263487099296325,0.1860828772478499,2558.0
