,GEOGRAPHY_CODE,Multi-person household,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Multi-person household: No people stated their religion,Multi-person household: No religion (household may include people who did not state their religion),Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Multi-person household: Same religion and no religion (household may include people who did not state their religion),One-person household,Total: All households
0,E02000001,0.4901322482197355,0.016683621566632757,0.021363173957273652,0.18311291963377416,0.16480162767039674,0.10417090539165819,0.5098677517802644,1
1,E02000002,0.7473867595818815,0.025087108013937282,0.020557491289198607,0.12857142857142856,0.48745644599303134,0.08571428571428572,0.25261324041811845,1
2,E02000003,0.7522258967183922,0.03663190027982702,0.01806156194352582,0.0780971762910201,0.5418468583057746,0.07758839989824472,0.24777410328160773,1
3,E02000004,0.7665656128194024,0.021654395842355997,0.01645734084019056,0.140753572975314,0.46253789519272415,0.12516240796881767,0.23343438718059767,1
4,E02000005,0.8054024255788313,0.028114663726571114,0.020948180815876516,0.13616317530319735,0.5305953693495039,0.08958103638368246,0.19459757442116868,1
5,E02000007,0.7085714285714285,0.020680272108843538,0.017687074829931974,0.145578231292517,0.4378231292517007,0.08680272108843537,0.2914285714285714,1
6,E02000008,0.7668685121107266,0.02097750865051903,0.017084775086505192,0.16457612456747406,0.4647491349480969,0.09948096885813149,0.23313148788927335,1
7,E02000009,0.7623971797884841,0.02773207990599295,0.01927144535840188,0.11515863689776733,0.5104582843713279,0.08977673325499412,0.23760282021151585,1
8,E02000010,0.7645112781954887,0.020150375939849623,0.021353383458646617,0.15127819548872182,0.472781954887218,0.09894736842105263,0.23548872180451128,1
9,E02000011,0.7746598639455783,0.022108843537414966,0.02423469387755102,0.1096938775510204,0.5297619047619048,0.08886054421768708,0.22534013605442177,1
10,E02000012,0.7888652266504411,0.028901734104046242,0.019774870702768482,0.05628232430787952,0.618192881046547,0.06571341648919987,0.21113477334955888,1
11,E02000013,0.7572218807621389,0.017516902274124155,0.018746158574062692,0.15642286416717885,0.4665027658266749,0.09803318992009834,0.2427781192378611,1
12,E02000014,0.7762691853600945,0.01948051948051948,0.021251475796930343,0.16381345926800472,0.46841794569067297,0.10330578512396695,0.22373081463990555,1
13,E02000015,0.6907352456313881,0.01813386086383119,0.01912298054731289,0.12232113419057039,0.44642268381140787,0.08473458621826574,0.30926475436861195,1
14,E02000016,0.7271057465232222,0.030700603516137497,0.016531094200997114,0.06927315665179742,0.5541852532143794,0.056415638939910785,0.27289425347677776,1
15,E02000017,0.775207806288399,0.03144199494036863,0.017708709794000722,0.04842790025298157,0.6042645464401879,0.07336465486086013,0.224792193711601,1
16,E02000018,0.7779839208410637,0.021645021645021644,0.021335807050092765,0.1341991341991342,0.5049474335188621,0.095856524427953,0.2220160791589363,1
17,E02000019,0.8162819713038054,0.015907673112913287,0.020586400499064253,0.1584529008109794,0.5168434185901435,0.10449157829070493,0.18371802869619464,1
18,E02000020,0.7757329338754547,0.02653541622084314,0.018617590413010913,0.09265996148084742,0.5566017547613953,0.08131821099935801,0.22426706612454525,1
19,E02000021,0.7737201365187714,0.019453924914675767,0.019795221843003412,0.0924914675767918,0.557679180887372,0.08430034129692833,0.22627986348122867,1
20,E02000022,0.7296137339055794,0.029327610872675252,0.018240343347639486,0.08047210300429185,0.5507868383404864,0.05078683834048641,0.2703862660944206,1
